Player,Season,GP,MPG,PPG,RPG,APG,SPG,BPG,TOVpg,FGpct
LeBron James,2003,32,40.15625,20.21875,6.0625,6.0,1.53125,0.71875,3.90625,0.41175
LeBron James,2004,76,39.76315789473684,22.56578947368421,5.7894736842105265,6.328947368421052,2.013157894736842,0.7894736842105263,3.1842105263157894,0.4295131578947369
LeBron James,2005,79,42.620253164556964,29.329113924050635,7.0886075949367084,6.670886075949367,1.9493670886075949,0.6708860759493671,3.3417721518987342,0.4813417721518988
LeBron James,2006,80,42.1,30.2625,7.225,6.775,1.45,0.7875,3.3125,0.4761875
LeBron James,2007,75,40.666666666666664,27.84,6.88,6.52,1.7466666666666666,0.8133333333333334,3.12,0.46829333333333334
LeBron James,2008,80,39.2375,29.55,7.625,6.75,1.875,1.1,3.1625,0.494175
LeBron James,2009,84,38.38095238095238,28.845238095238095,7.726190476190476,7.785714285714286,1.5238095238095237,1.0238095238095237,3.369047619047619,0.4870952380952381
LeBron James,2010,76,38.5921052631579,27.710526315789473,7.131578947368421,8.31578947368421,1.605263157894737,0.8157894736842105,3.460526315789474,0.48834210526315786
LeBron James,2011,49,39.6530612244898,28.836734693877553,8.0,6.836734693877551,1.7755102040816326,0.8571428571428571,3.4489795918367347,0.5399591836734694
LeBron James,2012,87,37.804597701149426,26.586206896551722,8.126436781609195,6.459770114942529,1.7126436781609196,0.7931034482758621,3.2528735632183907,0.5355977011494253
LeBron James,2013,77,37.09090909090909,26.467532467532468,7.428571428571429,7.103896103896104,1.6103896103896105,0.6753246753246753,3.1948051948051948,0.5883896103896104
LeBron James,2014,76,38.25,27.05263157894737,6.302631578947368,6.7105263157894735,1.5789473684210527,0.5131578947368421,3.6710526315789473,0.5238947368421053
LeBron James,2015,69,35.46376811594203,25.44927536231884,6.913043478260869,6.72463768115942,1.6231884057971016,0.6666666666666666,3.8260869565217392,0.4889565217391304
LeBron James,2016,76,36.078947368421055,25.25,7.605263157894737,7.776315789473684,1.3421052631578947,0.6052631578947368,3.3815789473684212,0.5398815789473684
LeBron James,2017,81,37.851851851851855,27.308641975308642,8.728395061728396,8.962962962962964,1.3333333333333333,0.7901234567901234,4.308641975308642,0.5698641975308641
LeBron James,2018,80,35.7,27.225,8.7125,8.2375,1.3,0.725,3.825,0.5215625
LeBron James,2019,53,35.43396226415094,26.056603773584907,7.962264150943396,10.528301886792454,1.3018867924528301,0.5094339622641509,3.811320754716981,0.4911320754716981
LeBron James,2020,35,34.22857142857143,25.542857142857144,8.142857142857142,9.628571428571428,1.0571428571428572,0.5142857142857142,4.0,0.4948
Michael Jordan,1984,31,36.74193548387097,25.580645161290324,5.387096774193548,4.774193548387097,2.3225806451612905,1.1935483870967742,3.3870967741935485,0.49674193548387097
Michael Jordan,1985,54,38.94444444444444,29.51851851851852,7.074074074074074,6.37037037037037,2.388888888888889,0.6481481481481481,3.6296296296296298,0.5265925925925926
Michael Jordan,1986,43,34.27906976744186,32.13953488372093,4.627906976744186,3.441860465116279,2.302325581395349,1.4651162790697674,2.8372093023255816,0.46767441860465114
Michael Jordan,1987,81,40.098765432098766,35.53086419753087,5.185185185185185,5.54320987654321,3.2222222222222223,1.4691358024691359,3.3950617283950617,0.49287654320987656
Michael Jordan,1988,82,40.6219512195122,35.792682926829265,6.426829268292683,5.597560975609756,3.1341463414634148,1.4390243902439024,3.1097560975609757,0.5484878048780488
Michael Jordan,1989,82,39.34146341463415,31.621951219512194,7.7560975609756095,8.317073170731707,2.573170731707317,0.6707317073170732,3.4634146341463414,0.5330609756097561
Michael Jordan,1990,83,38.21686746987952,32.71084337349398,6.771084337349397,6.156626506024097,2.9036144578313254,0.7951807228915663,2.6867469879518073,0.5416626506024096
Michael Jordan,1991,81,37.79012345679013,31.074074074074073,5.962962962962963,5.493827160493828,2.54320987654321,1.0987654320987654,2.6049382716049383,0.5281481481481481
Michael Jordan,1992,79,39.08860759493671,31.139240506329113,6.468354430379747,6.253164556962025,2.278481012658228,0.9240506329113924,2.5316455696202533,0.5034050632911392
Michael Jordan,1993,51,39.21568627450981,32.8235294117647,6.509803921568627,5.0,3.1176470588235294,0.5686274509803921,2.6470588235294117,0.49901960784313726
Michael Jordan,1995,45,38.86666666666667,28.844444444444445,6.2,4.888888888888889,2.1555555555555554,0.5555555555555556,2.2666666666666666,0.4605111111111111
Michael Jordan,1996,85,37.37647058823529,30.694117647058825,6.564705882352941,3.9647058823529413,1.9176470588235295,0.5411764705882353,2.152941176470588,0.4896117647058823
Michael Jordan,1997,81,38.17283950617284,28.530864197530864,6.271604938271605,4.222222222222222,1.728395061728395,0.5555555555555556,2.432098765432099,0.47588888888888886
Michael Jordan,1998,52,38.98076923076923,29.192307692307693,5.230769230769231,3.423076923076923,1.75,0.5384615384615384,1.9423076923076923,0.4799230769230769
Michael Jordan,2001,29,35.86206896551724,24.413793103448278,6.172413793103448,5.344827586206897,1.6551724137931034,0.41379310344827586,2.4827586206896552,0.4020344827586207
Michael Jordan,2002,62,33.354838709677416,19.29032258064516,5.048387096774194,4.112903225806452,1.3387096774193548,0.46774193548387094,2.4193548387096775,0.4228709677419355
Michael Jordan,2003,51,39.568627450980394,21.784313725490197,6.745098039215686,4.137254901960785,1.5098039215686274,0.47058823529411764,2.215686274509804,0.43533333333333335
