Player,Season,GP,MPG,PPG,RPG,APG,SPG,BPG,TOVpg,FGpct
LeBron James,2006,13,46.53846153846154,30.76923076923077,8.076923076923077,5.846153846153846,1.3846153846153846,0.6923076923076923,5.0,0.47584615384615386
LeBron James,2007,20,44.55,25.05,8.05,7.95,1.7,0.5,3.3,0.40780000000000005
LeBron James,2008,13,42.46153846153846,28.153846153846153,7.846153846153846,7.615384615384615,1.7692307692307692,1.3076923076923077,4.153846153846154,0.4078461538461538
LeBron James,2009,14,41.42857142857143,35.285714285714285,9.142857142857142,7.285714285714286,1.6428571428571428,0.8571428571428571,2.7142857142857144,0.5129285714285714
LeBron James,2010,11,41.63636363636363,29.09090909090909,9.272727272727273,7.636363636363637,1.7272727272727273,1.8181818181818181,3.8181818181818183,0.48718181818181816
LeBron James,2011,21,43.95238095238095,23.666666666666668,8.380952380952381,5.857142857142857,1.6666666666666667,1.1904761904761905,3.142857142857143,0.4592380952380952
LeBron James,2012,23,42.78260869565217,30.304347826086957,9.73913043478261,5.608695652173913,1.8695652173913044,0.6956521739130435,3.5217391304347827,0.5
LeBron James,2013,23,41.73913043478261,25.91304347826087,8.391304347826088,6.608695652173913,1.7826086956521738,0.782608695652174,3.0434782608695654,0.496
LeBron James,2014,20,38.25,27.4,7.05,4.75,1.8,0.55,3.05,0.5568500000000001
LeBron James,2015,20,42.25,30.05,11.3,8.45,1.65,1.05,4.1,0.4203
LeBron James,2016,21,39.285714285714285,26.285714285714285,9.523809523809524,7.619047619047619,2.3333333333333335,1.2857142857142858,3.5714285714285716,0.5355238095238095
LeBron James,2017,18,41.388888888888886,32.833333333333336,9.11111111111111,7.833333333333333,1.9444444444444444,1.2777777777777777,4.0,0.5651666666666667
LeBron James,2018,22,41.95454545454545,34.0,9.090909090909092,9.0,1.3636363636363635,1.0454545454545454,4.2727272727272725,0.5354545454545454
LeBron James,2020,21,36.23809523809524,27.61904761904762,10.761904761904763,8.761904761904763,1.2380952380952381,0.8571428571428571,4.0,0.5564761904761905
Michael Jordan,1985,4,42.75,29.25,5.75,8.5,2.75,1.0,3.75,0.4335
Michael Jordan,1986,3,45.0,43.666666666666664,6.333333333333333,5.666666666666667,2.3333333333333335,1.3333333333333333,4.666666666666667,0.4936666666666667
Michael Jordan,1987,3,42.666666666666664,35.666666666666664,7.0,6.0,2.0,2.3333333333333335,2.6666666666666665,0.421
Michael Jordan,1988,10,42.7,36.3,7.1,4.7,2.4,1.1,3.9,0.5267000000000001
Michael Jordan,1989,17,42.23529411764706,34.76470588235294,7.0,7.647058823529412,2.4705882352941178,0.7647058823529411,4.0,0.5108235294117647
Michael Jordan,1990,16,42.125,36.6875,7.1875,6.8125,2.8125,0.875,3.5,0.50425
Michael Jordan,1991,17,40.529411764705884,31.11764705882353,6.352941176470588,8.352941176470589,2.3529411764705883,1.3529411764705883,2.5294117647058822,0.5320588235294118
Michael Jordan,1992,22,41.81818181818182,34.5,6.2272727272727275,5.7727272727272725,2.0,0.7272727272727273,3.6818181818181817,0.49627272727272725
Michael Jordan,1993,19,41.21052631578947,35.05263157894737,6.7368421052631575,6.0,2.0526315789473686,0.8947368421052632,2.3684210526315788,0.46657894736842104
Michael Jordan,1995,10,42.0,31.5,6.5,4.5,2.3,1.4,4.1,0.4739
Michael Jordan,1996,18,40.72222222222222,30.666666666666668,4.944444444444445,4.111111111111111,1.8333333333333333,0.3333333333333333,2.3333333333333335,0.4553333333333333
Michael Jordan,1997,19,42.36842105263158,31.05263157894737,7.894736842105263,4.7894736842105265,1.5789473684210527,0.8947368421052632,2.5789473684210527,0.4548421052631579
Michael Jordan,1998,21,41.57142857142857,32.38095238095238,5.095238095238095,3.5238095238095237,1.5238095238095237,0.5714285714285714,2.142857142857143,0.4683809523809524
